,,,,,,Date,,,,,,,,,Terms,,,,,,,,,,,,,,Results,,,,,,,,,,Pricing,,,,,,Market Pricing,,,,,,,Trading Statistics,,,,,,,,,,cust_trr_start_dt,cust_trr_end_dt,cust_trr_return_holding_per,,,,Predicted Participation at Tender Price,,,,,,,,,Predicted Premium of Tender Price,,,,,,,,,
,Notes,Ticker,Concatenation ,Target Name,Market Cap,Announced,Expiration,Pre-Deal Date,5-Days Prior to Expiration Date,Post Expiration Date,,,Duration,,Min Price,Max Price,Min Shares,Max Shares ,Min Value,Max Value,Size by Shrs,Upsided Option (shrs),Max Upside with 2%,Shares Eligible for Tender,Total Shares O/S,Relative Size,Adjusted Relative Size,,Shares Tendered at Acceptance Price,Total Shares Tendered (not usually given,Price Paid,Premium Paid,Shares Purchased,Value Repurchased,Proration At Acceptance Price % (total shares),Proration At Acceptance Price % (announced shares),Participation at Acceptance Price % ,,Pre-Deal,Deal on Announcement,5-Days Prior to Expiration Date,On Expiration Date,After Expiration,,SPX on Deal Announcement,SPX on Expiration Date,VIX on Expiration Date,Implied Vol - Vix,52 Week Low,52 Week High,,Tender Premium % (Low tender price),Tender Premium % (high tender price),Pro-Rate (low tender price),Pro-Rate (high tender price),Total Excess Volume vs. Historical Average,Implied Pre-Deal Vol (60-day),Stock Appreciation Over Tender Period,Stock Change On Announce Day,Stock Change Post Tender Expiration,Change in SPX over Tender Period,Stock vs. SPX over Tender Period,Total Excess Volume / Average Shares to be Repurchased,Stock Pre Tender 90 Day Performance,Implied Pre 90 Day Price,Tender Premium to 3 Month Pre-Tender Price,,Participation at Tender Price,Adjusted Relative Size,Tender Premium % (high tender price),Excess Volume / Average Shares to be Repurchased,Stock Appreciation Over Tender Period,Stock Change Post Tender Expiration,,Tender Premium to 3 Month Pre-Tender Price,,Premium Paid,Tender Premium % (high tender price),Stock Appreciation Over Tender Period,Stock Change On Announce Day,Total Excess Volume / Average Shares to be Repurchased,,Stock Change On Announce Day,,,
,{NSN GXALQ83H0JK1 <go>}…this one had 2 ammendments,DVA US,DVA US Equity,DaVita Inc,#N/A,3/15/2002,5/30/2002,3/14/02,5/22/02,5/31/02,20011213,20020314,75,,$21.00,$25.00,15.0,15.0,$315.0,$375.0,X,16.7,,#N/A,#N/A,#N/A,#N/A,,19.3,N/A,$24.00,#N/A,16.7,$400.4,86.5%,77.8%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,$15.40 ,$24.45 ,,#N/A,#N/A,#N/A,#N/A,29.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,198.6%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,198.64%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,198.64%,,#N/A,,,
,Commence {NSN GW9UF93PWT1D <go>},920479Q US,920479Q US Equity,Lone Star Steak House and Saloon,#N/A,5/9/2002,6/14/2002,5/8/02,6/7/02,6/17/02,20020206,20020508,35,,$20.50,$22.50,4.0,4.0,$82.0,$90.0,X,,,#N/A,#N/A,#N/A,#N/A,,4.7,N/A,$21.38,#N/A,4.0,$85.5,85.5%,85.5%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,$9.70 ,$20.97 ,,#N/A,#N/A,#N/A,#N/A,1.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41.3%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,41.28%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,41.28%,,#N/A,,,
,Final {NSN H1V5JY3H0JK1 <go>},ENR US,ENR US Equity,Energizer Holdings Inc,#N/A,8/5/2002,8/30/2002,8/2/02,8/23/02,9/3/02,20020503,20020802,25,,$25.50,$29.00,6.0,6.0,$153.0,$174.0,X,,,#N/A,#N/A,#N/A,#N/A,,2.6,2.6,$29.00,#N/A,2.6,$76.4,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,$15.01 ,$29.34 ,,#N/A,#N/A,#N/A,#N/A,3.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,54.4%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,54.44%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,54.44%,,#N/A,,,
,Announce {NSN H2NGZJ3H0JK2 <go>},ASNA US,ASNA US Equity,Dress Barn Inc/The,#N/A,9/19/2002,10/18/2002,9/18/02,10/11/02,10/21/02,20020619,20020918,29,,$15.00,$17.00,8.0,8.0,$120.0,$136.0,X,,,#N/A,#N/A,#N/A,#N/A,,9.2,N/A,$15.00,#N/A,8.0,$120.0,86.8%,86.8%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,$11.15 ,$16.83 ,,#N/A,#N/A,#N/A,#N/A,10.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,127.2%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,127.15%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,127.15%,,#N/A,,,
,"Announce {NSN H4PN5S3H0JK2 <go>}, Final {NSN H6KC0N3H65TU <go>}",KEYN US,KEYN US Equity,Keynote Systems Inc,#N/A,10/29/2002,11/26/2002,10/28/02,11/19/02,11/27/02,20020729,20021028,27,,$7.00,$8.00,10.0,10.0,$70.0,$80.0,X,,,#N/A,#N/A,#N/A,#N/A,,4.3,4.3,$8.00,#N/A,4.3,$34.4,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,$6.21 ,$10.15 ,,#N/A,#N/A,#N/A,#N/A,1.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.6%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,14.60%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,14.60%,,#N/A,,,
,Final {NSN H715AJ3H0JK1 <go>},SFSW US,SFSW US Equity,State Financial Services Corp,#N/A,10/30/2002,12/6/2002,10/29/02,11/29/02,12/9/02,20020730,20021029,36,,$14.00,$16.50,0.7,0.7,$9.8,$11.6,X,0.7,,#N/A,#N/A,#N/A,#N/A,,0.7,0.7,$16.50,#N/A,0.7,$11.8,100.0%,97.8%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,$11.40 ,$15.25 ,,#N/A,#N/A,#N/A,#N/A,0.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,110.4%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,110.40%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,110.40%,,#N/A,,,
,"Announce {NSN H5F69F3T6SQP <go>}, Final {NSN H70EDE3T6SQP <go>}",RAH US,RAH US Equity,Ralcorp Holdings Inc,#N/A,11/11/2002,12/11/2002,11/8/02,12/4/02,12/12/02,20020809,20021108,30,,$21.00,$24.00,4.0,4.0,$84.0,$96.0,X,,,#N/A,#N/A,#N/A,#N/A,,1.1,1.1,$24.00,#N/A,1.1,$27.5,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,$19.50 ,$31.25 ,,#N/A,#N/A,#N/A,#N/A,1.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28.0%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,28.03%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,28.03%,,#N/A,,,
,"Announce {NSN H9QGWF3T6SQP <go>}, Final {NSN HBPL443TCF0H <go>}",BF/B US,BF/B US Equity,Brown-Forman Corp,#N/A,2/3/2003,3/4/2003,1/31/03,2/25/03,3/5/03,20021101,20030131,31,,$63.00,$73.00,6.8,6.8,$428.4,$496.4,X,7.6,,#N/A,#N/A,#N/A,#N/A,,7.7,N/A,$70.50,#N/A,7.6,$535.1,98.1%,87.9%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,$59.31 ,$80.05 ,,#N/A,#N/A,#N/A,#N/A,11.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,167.5%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,167.50%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,167.50%,,#N/A,,,
,"Announce {NSN HDC1HZ3T6SQP <go>}, Final {NSN HEZATX3T6SQP <go>}",TYL US,TYL US Equity,Tyler Technologies Inc,#N/A,4/14/2003,5/12/2003,4/11/03,5/5/03,5/13/03,20030110,20030411,28,,$3.60,$4.00,4.2,4.2,$15.1,$16.8,X,5.1,,#N/A,#N/A,#N/A,#N/A,,6.0,6.0,$4.00,#N/A,5.1,$20.4,85.2%,70.1%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,$3.07 ,$5.98 ,,#N/A,#N/A,#N/A,#N/A,1.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29.5%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,29.46%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,29.46%,,#N/A,,,
