Ticker,Announced,Expiration,Min Price ($),Max Price,Min Shares,Max Shares ,Min Value ($),Max Value ($),Shares Tendered at Acceptance Price,Total Shares Tendered (not usually given,Price Paid,Shares Purchased
DVA US,3/15/2002,5/30/2002,21.00,25.00,15.0,15.0,315.0,375.0,19.3,N/A,24.00,16.7
920479Q US,5/9/2002,6/14/2002,20.50,22.50,4.0,4.0,82.0,90.0,4.7,N/A,21.38,4.0
ENR US,8/5/2002,8/30/2002,25.50,29.00,6.0,6.0,153.0,174.0,2.6,2.6,29.00,2.6
ASNA US,9/19/2002,10/18/2002,15.00,17.00,8.0,8.0,120.0,136.0,9.2,N/A,15.00,8.0
KEYN US,10/29/2002,11/26/2002,7.00,8.00,10.0,10.0,70.0,80.0,4.3,4.3,8.00,4.3
SFSW US,10/30/2002,12/6/2002,14.00,16.50,0.7,0.7,9.8,11.6,0.7,0.7,16.50,0.7
RAH US,11/11/2002,12/11/2002,21.00,24.00,4.0,4.0,84.0,96.0,1.1,1.1,24.00,1.1
BF/B US,2/3/2003,3/4/2003,63.00,73.00,6.8,6.8,428.4,496.4,7.7,N/A,70.50,7.6
TYL US,4/14/2003,5/12/2003,3.60,4.00,4.2,4.2,15.1,16.8,6.0,6.0,4.00,5.1
AOT US,4/23/2003,5/21/2003,15.00,17.50,15.0,15.0,225.0,262.5,6.0,6.0,17.50,6.0
RCII US,4/28/2003,6/19/2003,67.00,73.00,2.2,2.2,147.4,160.6,1.8,1.8,73.00,1.8
GBL US,6/4/2003,7/7/2003,28.00,31.75,0.8,0.8,22.4,25.4,0.0,0.0,31.75,0.0
CBZ US,6/10/2003,7/9/2003,3.00,3.30,14.0,14.0,42.0,46.2,9.9,9.9,3.30,9.9
ZLC US,7/1/2003,7/29/2003,42.00,48.00,6.4,6.4,268.8,307.2,4.7,4.7,48.00,4.7
BHS US,8/8/2003,9/30/2003,15.50,18.50,5.0,5.0,77.5,92.5,1.1,1.1,18.50,1.1
562340Q US,11/13/2003,1/15/2004,16.25,18.00,10.0,10.0,162.5,180.0,16.2,N/A,17.00,10.0
CACC US,11/26/2003,1/6/2004,12.50,17.00,2.6,2.6,32.5,44.2,2.2,2.2,17.00,2.2
ATAC US,12/16/2003,1/20/2004,13.00,15.75,2.6,2.6,34.3,41.6,4.4,4.4,15.75,2.6
LTD US,2/26/2004,3/26/2004,19.75,22.50,44.4,50.6,"1,000.0","1,000.0",65.4,N/A,19.75,50.6
TW US,3/8/2004,4/2/2004,23.00,25.25,3.6,3.6,82.8,90.9,0.8,0.8,25.25,0.8
BTH US,6/7/2004,7/9/2004,30.00,35.00,4.0,4.0,120.0,140.0,6.9,6.9,35.00,4.9
IT US,6/18/2004,7/30/2004,12.50,13.50,11.3,11.3,141.3,152.6,14.6,N/A,13.30,14.6
CACC US,8/12/2004,9/9/2004,14.00,20.00,3.0,3.0,42.0,60.0,2.7,2.7,20.00,2.7
PPD US,8/26/2004,9/28/2004,22.50,26.00,1.0,1.0,22.5,26.0,1.0,1.0,26.00,1.0
PGR US,9/14/2004,10/15/2004,78.00,88.00,17.1,17.1,"1,333.8","1,504.8",16.9,16.9,88.00,16.9
LTD US,10/7/2004,11/22/2004,25.25,29.00,69.0,79.2,"2,000.0","2,000.0",87.8,87.8,29.00,69.0
3605818Q US,10/13/2004,11/11/2004,35.00,41.00,61.0,61.0,"2,135.0","2,501.0",62.0,93.0,39.75,62.0
UNTD US,11/3/2004,12/13/2004,9.00,10.50,14.3,14.3,128.6,150.0,0.0,0.0,10.50,0.0
VTRU US,11/8/2004,1/7/2005,33.50,38.50,0.5,0.5,16.8,19.3,0.6,0.6,38.50,0.6
CSS US,1/31/2005,3/4/2005,30.00,35.00,1.5,1.5,45.0,52.5,2.0,2.0,35.00,1.7
OMX US,3/30/2005,5/9/2005,30.00,34.00,23.5,23.5,705.0,799.0,25.3,N/A,33.00,23.5
TNS US,4/5/2005,5/3/2005,18.00,18.50,9.0,9.0,162.0,166.5,6.3,6.3,18.50,6.3
DLP US,4/20/2005,5/17/2005,25.00,28.75,1.7,1.7,43.5,50.0,2.4,N/A,27.00,2.4
MWV US,5/6/2005,6/8/2005,28.25,32.50,16.0,16.0,452.0,520.0,18.7,N/A,29.50,18.7
EMMS US,5/10/2005,6/13/2005,17.25,19.75,20.3,20.3,349.3,399.9,24.3,N/A,19.50,20.3
PLMD US,5/26/2005,7/8/2005,34.75,37.50,4.0,4.3,150.0,150.0,6.9,6.9,37.50,4.0
MYL US,6/14/2005,7/15/2005,18.00,20.50,48.8,48.8,878.0,"1,000.0",54.4,N/A,19.50,51.3
BAMM US,6/21/2005,7/21/2005,8.75,10.00,4.0,4.0,35.0,40.0,0.1,0.1,10.00,0.1
PFGC US,6/29/2005,8/11/2005,27.50,31.50,10.0,10.0,275.0,315.0,10.1,N/A,29.75,10.1
EXAR US,7/19/2005,8/23/2005,15.00,17.00,7.1,8.0,120.0,120.0,9.4,N/A,16.00,7.5
NATR US,10/28/2004,11/23/2005,14.20,16.50,1.0,1.0,14.2,16.5,1.5,1.5,16.50,1.0
3306180Q US,8/4/2005,10/14/2005,14.00,16.00,4.4,4.4,61.6,70.4,4.9,N/A,15.50,4.9
8285461Q US,8/30/2005,9/28/2005,22.50,26.00,9.6,9.6,216.3,250.0,8.1,8.1,26.00,8.1
DY US,9/12/2005,10/11/2005,18.50,21.00,9.5,9.5,175.8,199.5,8.8,8.8,21.00,8.8
3605818Q US,10/13/2005,11/14/2005,43.00,50.00,50.0,50.0,"2,150.0","2,500.0",28.7,28.7,50.00,28.7
SHLM US,2/21/2006,4/11/2006,21.00,24.00,8.8,8.8,183.8,210.0,2.1,2.1,24.00,2.1
FFBC US,11/2/2005,12/2/2005,17.50,19.50,3.3,3.3,56.9,63.4,3.7,5.2,19.00,3.3
A US,11/15/2005,12/13/2005,32.00,37.00,73.0,73.0,"2,336.0","2,701.0",88.6,N/A,36.00,83.1
UCAP US,11/28/2005,1/10/2006,23.50,24.50,1.0,1.0,23.5,24.5,0.5,0.5,24.50,0.5
CPIC US,12/22/2005,2/1/2006,17.00,20.00,1.5,1.5,25.5,30.0,1.7,2.3,19.50,1.7
8277831Q US,1/27/2006,3/17/2006,56.00,63.00,55.5,55.5,"3,108.0","3,496.5",7.4,7.4,63.00,7.4
CV US,2/7/2006,4/5/2006,20.50,22.50,2.3,2.3,46.1,50.6,2.4,2.4,22.50,2.2
BCO US,11/15/2005,4/6/2006,47.50,52.50,10.0,10.0,475.0,525.0,10.4,N/A,51.20,10.4
