RAMP US EQUITY,RAMP US,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Position ,Filing ,Filing ,Insider ,Percent , Percent of  ,,,
Holder Name ,Portfolio Name ,Position ,Change  ,Date  ,Source ,Status ,Outstanding, Portfolio ,Institution Type ,Metro Area,Country
BlackRock Inc,--,"8,620,593",-28037,9/30/2018,ULT-AGG,N-P,10.91,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Vanguard Group Inc/The,--,"6,948,310",101761,9/30/2018,ULT-AGG,N-P,8.79,0,Investment Advisor,Philadelphia,United States
Jackson Square Partners LLC,Jackson Square Partners LLC,"5,593,940",5593940,9/30/2018,13F,N-P,7.08,1.409,Investment Advisor,San Francisco/San Jose,United States
BANK OF NEW YORK MELLON CORP/THE,--,"3,632,915",-3886717,9/30/2018,ULT-AGG,N-P,4.6,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Dimensional Fund Advisors LP,Dimensional Fund Advisors LP,"3,159,325",-78994,9/30/2018,13F,N-P,4,0.059,Investment Advisor,Austin,United States
ACXIOM CO PLAN,Multiple Portfolios,"2,563,826",0,12/31/2015,MF-AGG,N-P,3.24,0,Pension Fund,Unclassified,United States
State Street Corp,--,"2,545,318",21709,9/30/2018,ULT-AGG,N-P,3.22,0,Investment Advisor,Boston,United States
Abrams Bison Investments LLC,Abrams Bison Investments LLC,"2,455,000",2455000,9/30/2018,13F,N-P,3.11,15.34,Hedge Fund Manager,Baltimore,United States
Capital Group Cos Inc/The,Capital Group Cos Inc/The,"2,413,100",2413100,9/30/2018,13F,N-P,3.05,0.055,Investment Advisor,Los Angeles/Pasadena,United States
Baron Capital Inc,--,"2,346,201",380,9/30/2018,ULT-AGG,N-P,2.97,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Newport Trust Co,Newport Trust Co,"1,753,686",-464362,9/30/2018,13F,N-P,2.22,0.242,Investment Advisor,New York City/Southern CT/Northern NJ,United States
